item_number,type_verband,A,B,C,D,Ans1,Ans2,Ans3,Ans4,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3,prob_correct_children,prob_correct_7,prob_correct_8,prob_correct_9,prob_correct_10,prob_correct_11,prob_correct_12
88,classificatie,muis,knaagdier,postbode,beroep,dier,brandweerman,pakjes,postzegel,far,high,categorical,0,0,NA,NA,0,0,0,0,0.0947692851860329,0.00335476324274848,0.0107356203904562,0.0297413795941684,0.0593172926593481,0.117347001063482,0.201799812610775
109,classificatie,groen,kleur,honderd,getal,euro,duur,centimeter,duizend,far,high,categorical,0,0,NA,0,0,1,1,1,0.548717051619676,0.0376233586332442,0.111931528696695,0.262543475881402,0.422755447327688,0.606932470054429,0.745954198962727
401,hoort bij elkaar,vis,aquarium,tijd,minuut,lang,nacht,gewicht,langzaam,far,high,categorical,1,1,NA,NA,0,0,0,0,0.999623231755221,0.9884131994647,0.996377109220185,0.998714375985581,0.999374630876425,0.99970328780178,0.999843947919289
703,probleem - oplossing,honger,eten,breuk,gips,brand,rekenen,scheiding,vallen,far,high,causal,0,0,NA,NA,0,0,0,0,0.06756265936848,0.00232428530423173,0.00745493334813048,0.0207747102943417,0.0418181536520467,0.0842620394998718,0.148921472507145
706,probleem - oplossing,herrie,oordopjes,ziekte,medicijnen,beter,koorts,knuffel,oorpijn,far,high,causal,0,0,NA,NA,0,1,0,0,0.606466029431167,0.0472100412948666,0.137742424144838,0.310925187027605,0.481388799228515,0.661823068872634,0.788205530161859
243,delen een eigenschap,brandweerauto,roos,water,glas,paars,zee,wanten,safari,far,high,compositional,0,0,NA,0,NA,0,0,1,0.00482643528450029,0.000155909614267674,0.000502476586076788,0.00141800141875946,0.0029126660418034,0.00612117456136436,0.0115763432875686
441,item - eigenschap,rots,hard,veer,licht,gans,pen,veren,vliegen,far,high,compositional,0,0,0,1,1,1,1,0,0.591746734643179,0.04452838554068,0.130623299852857,0.297948137662013,0.466109659549705,0.647972442298646,0.777793206315823
416,item - eigenschap,water,nat,rodekool,rood,fruit,bos,omhakken,zingen,far,high,compositional,0,0,NA,1,1,1,0,1,0.999468853291568,0.983740292349928,0.994899438780995,0.99818827441528,0.999118479564417,0.999581698082754,0.999779986637186
849,teken van,knuffelen,liefde,gapen,vermoeidheid,laat,slapen,mond,tong,far,high,NA,0,0,NA,NA,0,0,0,0,0.0367138622776675,0.00122392794277306,0.0039352180358892,0.0110362219406747,0.0224412714294056,0.0461658972051524,0.0842824072708585
862,teken van,sirene,hulpdienst,luxe,rijk,Ferrari,snel rijden,mooi,benzine,far,high,NA,NA,NA,NA,1,0,1,0,0,0.242534504315796,0.0101900299126134,0.0321245178250809,0.0857151298541784,0.161678140476849,0.289073864691733,0.436058831949949
836,tegengestelden,groot,klein,voor,achter,hier,daar,overal,das,far,high,NA,0,1,0,0,0,0,1,0,0.999691565015058,0.990495329179556,0.997032433633266,0.998947371952891,0.9994880289956,0.999757105078777,0.999872255705111
312,dezelfde categorie,step,fiets,kabouter,heks,timmerman,juffrouw,Duitser,Chinees,far,low,categorical,1,0,NA,NA,0,1,0,1,0.102244775901599,0.0036484528888754,0.0116678957589915,0.0322702661966398,0.0641946101118764,0.126354852702964,0.215706180420038
363,hoort bij elkaar,vis,aquarium,aarde,heelal,water,ster,hond,spiegel,far,low,categorical,1,1,NA,NA,0,0,0,0,0.615665611351992,0.0489820891384185,0.142404748205541,0.319278860746333,0.491058569443193,0.670431808188713,0.794595542665624
78,classificatie,BelgiÃ«,land,armband,sieraad,ring,dier,kleur,plant,far,low,categorical,1,1,NA,NA,0,0,0,1,0.997897604535722,0.938503370900641,0.980080261970871,0.992855869779293,0.996514363002791,0.99834371583823,0.999128336025264
54,actie-resultaat,zwartrijden,boete,zaaien,plant,aarde,haaien,akker,boer,far,low,causal,1,0,1,0,0,0,0,1,0.104910580527954,0.00375432850645832,0.0120036864336354,0.0331790683734349,0.0659412104642368,0.129558555741202,0.220603313545518
921,uitvoerder - actie,winkelier,verkopen,zanger,zingen,muziek,vals,valideren,toonsoort,far,low,causal,0,1,NA,0,0,0,1,1,0.559699109593447,0.0392663915258267,0.116427055137745,0.271240509843429,0.433638940516762,0.617485424717548,0.754285793782891
948,uitvoerder - actie,tuinier,tuinieren,kapper,knippen,schrijven,poetsen,vliegen,regenen,far,low,causal,0,1,NA,NA,0,0,1,1,0.999781663667904,0.993253662543599,0.997897672354899,0.999254698894295,0.999637562127351,0.999828061753197,0.999909576573322
212,delen een eigenschap,horloge,klok,brief,e-mail,letter,tijd,minuten,papier,far,low,compositional,1,1,NA,NA,0,0,0,0,0.0291355338002345,0.000963958830557482,0.00310114392221537,0.00871024294133532,0.0177547333705719,0.0367108721541263,0.0675739608786863
202,delen een eigenschap,stofzuiger,bezem,bril,lenzen,trui,aardappel,gezicht,ogen,far,low,compositional,0,1,NA,NA,0,0,1,0,0.209052963357933,0.0084264916930087,0.0266671591639873,0.0718293647648371,0.137334920371332,0.251299107493236,0.389602798816825
179,deel - geheel,veter,schoen,klok,kerk,god,bidden,moskee,geloof,far,low,compositional,1,1,1,1,1,1,0,0,0.999605231423295,0.987866133962419,0.996204612242251,0.99865301302653,0.999344761271634,0.99968911100663,0.999836490711441
885,teken van,snurken,slapen,kus,liefde,hoofdkussen,balen,leuk,lippen,far,low,NA,1,1,NA,1,1,1,1,1,0.0322017593134758,0.00106866937220218,0.00343720860552548,0.00964827140653235,0.0196474809923358,0.0405410363503118,0.0743755513401898
884,teken van,zweten,inspanning,kus,liefde,hoofdkussen,balen,leuk,lippen,far,low,NA,1,1,NA,1,1,1,1,0,0.298438119679415,0.0134927829828636,0.0422332514449852,0.110757648463716,0.203963004348887,0.350737552281496,0.506728277794982
737,synoniem,perfect,ideaal,rondje,cirkel,heks,klok,water,film,far,low,NA,0,1,NA,0,0,0,1,1,0.999709340099808,0.991038331681092,0.997203025501418,0.999007992269129,0.999517528184661,0.999771103959457,0.999879618853059
395,hoort bij elkaar,gracht,kasteel,tuin,huis,park,tonijn,moestuin,puin,near,high,categorical,0,0,0,0,0,0,1,1,0.00287895195064351,9.28237639748601E-05,0.000299200987960258,0.000844665625704248,0.00173604811809999,0.00365317724225246,0.00692419901238414
369,hoort bij elkaar,avond,diner,middag,lunch,ochtend,soep,computer,agenda,near,high,categorical,0,0,NA,NA,1,1,1,1,0.707330823761899,0.0721037689436836,0.2003362201471,0.414395639637898,0.592786110088831,0.754248923158346,0.853724515770904
375,hoort bij elkaar,vriezen,koud,zon,warmte,planeet,wolken,weer,koude,near,high,categorical,0,0,NA,NA,1,1,1,1,0.999117477892326,0.973262184041518,0.991550762095222,0.996992292755927,0.998535657125613,0.999304922239214,0.99963436344818
677,oorzaak-gevolg,opruimen,netjes,zuiveren,schoon,vies,water,kamer,ontsmetten,near,high,causal,0,0,NA,0,0,1,1,1,0.0669838921585948,0.00230299430001561,0.00738699237424977,0.020587896696905,0.0414501199315472,0.0835530376904169,0.147756195397393
912,uitvoerder - actie,vader,opvoeden,kind,spelen,speelgoed,broertje,school,juffrouw,near,high,causal,0,0,0,0,0,0,1,0,0.231851855002269,0.00961134578770884,0.0303383704838909,0.0811992823657014,0.153833599515201,0.277091217210813,0.421596563972089
946,uitvoerder - actie,kok,koken,bakker,bakken,muts,vliegtuig,cake,winkel,near,high,causal,0,0,NA,0,1,1,1,1,0.999717398743411,0.991284701128004,0.997280383524397,0.999035477256796,0.999530902382788,0.999777450560464,0.999882957013617
153,deel - geheel,jij,iedereen,nu,altijd,straks,nergens,klok,nooit,near,high,compositional,0,0,NA,NA,1,1,1,1,0.0384640098716445,0.00128452850929448,0.00412950815771891,0.0115770289501671,0.0235276631804586,0.0483440097795271,0.0880927728510555
170,deel - geheel,moeder,ouders,juf,leraren,leerling,rekenen,vader,vriendin,near,high,compositional,0,0,NA,1,0,0,1,1,0.611629144706212,0.048195052223653,0.140338121776982,0.315589965063443,0.486804288629519,0.666659101403613,0.791802800459797
457,item - eigenschap,ravijn,diep,berg,hoog,klein,landschap,vakantie,wandelen,near,high,compositional,0,0,NA,0,1,1,1,1,0.999336995794121,0.97978279247715,0.993640439182407,0.997739231513625,0.998899737325695,0.999477839738748,0.999725346959171
634,object - locatie,taart,bakblik,soep,pan,koken,fornuis,keuken,bakken,near,high,NA,0,0,NA,1,0,0,0,0,0.0415473500445524,0.00139181254240925,0.00447334106878535,0.0125331565676431,0.0254453655584741,0.0521763708682265,0.0947623623443537
665,object - locatie,ring,vinger,ketting,hals,armband,mooi,goud,hond,near,high,NA,0,0,NA,0,1,0,0,0,0.642634255229883,0.0546578958427733,0.157117463043446,0.344915936725188,0.519953263917557,0.695458443504339,0.812825823035212
786,tegengestelden,vol,leeg,nep,echt,namaak,kapot,verboden,alsof,near,high,NA,0,0,NA,NA,1,0,0,1,0.998936774789801,0.967957199799249,0.989836477166438,0.99637801934928,0.998236032134377,0.999162567620384,0.999559449920572
319,dezelfde categorie,ranja,appelsap,appel,banaan,bloemkool,aardappel,water,pizza,near,low,categorical,0,0,NA,NA,NA,0,1,1,0.0431857607091762,0.0014490925100375,0.00465684976576708,0.0130429691121426,0.026466332023271,0.0542102272813736,0.0982841033341827
299,dezelfde categorie,beker,glas,fluitketel,waterkoker,mok,koelkast,vriezer,schoteltje,near,low,categorical,1,1,NA,NA,NA,1,0,1,0.236731370312111,0.00987374557305782,0.031148842473074,0.0832518191291032,0.157407623185749,0.282572591039132,0.428243127392259
387,hoort bij elkaar,verf,kwast,broek,riem,fiets,bezem,vaas,jongen,near,low,categorical,0,1,NA,0,0,0,1,1,0.999725124191983,0.991520995408853,0.997354553177672,0.999061826845986,0.999543723741004,0.999783534732641,0.999886157124014
23,actie-resultaat,koken,diner,bakken,taart,bakplaat,soep,avond,bakker,near,low,causal,0,0,NA,NA,0,0,1,1,0.0750113290745391,0.00260059371773325,0.00833607118131968,0.023193394294299,0.0465702922823582,0.093367435707168,0.163764466346263
338,gebrek aan,naakt,kleren,kaal,haren,borstel,hoofd,oren,man,near,low,causal,0,0,NA,0,0,1,1,1,0.78387899086635,0.104438453574156,0.273242390912211,0.515029805456888,0.685993754198802,0.821620292185025,0.897530086857501
328,gebrek aan,moe,slaap,honger,eten,arm,mond,misselijk,rusten,near,low,causal,0,0,0,0,1,1,1,1,0.991352995112872,0.78660620287388,0.922385412085516,0.971071668308024,0.985725414752219,0.993178326261642,0.996401090168543
182,deel - geheel,maand,jaar,dag,maand,uur,verjaardag,tijdstip,horloge,near,low,compositional,0,0,NA,1,1,1,1,0,0.0359124069077443,0.00119624777042014,0.00384645587648685,0.010789025549478,0.0219442858034052,0.0451677809695255,0.0825315092005212
573,object - functie,papier,schrijven,potlood,tekenen,verven,hout,grijs,slijpen,near,low,compositional,0,0,NA,0,1,1,1,0,0.597772163902581,0.0456042200204481,0.133488631622944,0.303203787904205,0.472335896622859,0.65365373344599,0.782083957665266
451,item - eigenschap,fluisteren,zacht,schreeuwen,hard,schor,keelpijn,concert,waaghals,near,low,compositional,0,0,NA,0,1,1,1,1,0.999148846029124,0.974188804751979,0.991848885441266,0.997098978593672,0.998587676115995,0.999329632373036,0.999647366023233
476,mate/sterkte,grappig,hilarisch,iemand,iedereen,niemand,nooit,vrienden,vaak,near,low,NA,0,0,NA,NA,0,1,1,0,0.112387293261562,0.00405454580894914,0.0129549908055988,0.0357478235175716,0.0708605377179756,0.138520024166594,0.234168112780156
712,mate/sterkte,warm,heet,raar,gek,normaal,voltooid,overig,dank,near,low,NA,1,1,NA,1,1,0,1,1,0.667342727496863,0.0605925023770656,0.17215098016624,0.370030063677768,0.547166953188788,0.718116653748486,0.828900127092352
718,synoniem,verkeerd,fout,correct,goed,fout,ring,pen,vals,near,low,NA,0,0,0,0,0,0,0,1,0.99944856830705,0.983129458384421,0.994705568049292,0.998119174971388,0.999084825735435,0.999565720872696,0.999771581407557
378,hoort bij elkaar,arm,pols,been,enkel,voet,scheen,tenen,hand,NA,high,categorical,1,1,NA,0,0,0,0,0,0.00118538531592169,3.81567204287372E-05,0.000123006392454242,0.000347367389746911,0.000714322211578077,0.00150485371000718,0.00285780347014813
391,hoort bij elkaar,kluis,slot,telefoon,wachtwoord,computer,sleutel,kasteel,lezen,NA,high,categorical,0,0,NA,NA,0,0,0,0,0.38652712570358,0.0198558069132886,0.0613076066875634,0.155747851301703,0.275100899550676,0.444483273916264,0.603417977950592
382,hoort bij elkaar,tuin,tuinman,kinderboerderij,dieren,schommel,stad,spelen,bamboe,NA,high,categorical,0,0,NA,0,0,0,0,1,0.999675133594021,0.989993885462252,0.996874783750347,0.998891338706265,0.999460760340743,0.999744164314882,0.999865449019739
325,gebrek aan,haast,tijd,weeskind,ouders,meisje,jongen,wezenlijk,Annie,NA,high,causal,0,0,NA,1,1,1,1,0,0.0323024427925067,0.00107211855703171,0.0034482759825418,0.00967914338102448,0.0197097110992491,0.0406666981677001,0.0745979333406396
376,actie-resultaat,parasol,schaduw,zon,warmte,planeet,wolken,weer,koude,NA,high,causal,0,0,NA,NA,1,1,1,1,0.724116918675043,0.0778234794638131,0.213883386767247,0.434551899506751,0.612543215253559,0.769222002368595,0.863731758349851
910,uitvoerder - actie,vis,zwemmen,kikker,springen,jeuken,haar,duiken,krabben,NA,high,causal,0,0,NA,0,1,0,1,0,0.999669621447822,0.989825779289907,0.996821907934989,0.998872542578432,0.999451612827896,0.999739823137387,0.999863165594142
172,deel - geheel,baksteen,gebouw,letter,woord,spelling,tekening,grammatica,lezen,NA,high,compositional,0,1,NA,1,1,1,1,0,0.063488144113142,0.00217493717836463,0.00697821872700828,0.0194629486809596,0.0392308951912278,0.079266043759449,0.140680702007459
140,deel - geheel,toets,toetsenbord,snaar,viool,dirigent,trommel,muziek,noot,NA,high,compositional,0,1,NA,0,0,0,0,1,0.243437852226903,0.0102396825589106,0.0322775646522892,0.0861007792875707,0.16234487579075,0.290084169901065,0.437266880716794
462,item - eigenschap,kikker,groen,kabouter,klein,bezem,bos,reus,biologie,NA,high,compositional,0,0,NA,0,0,0,0,1,0.997941446393052,0.939710948563665,0.980488389181699,0.993004111307068,0.996586951336408,0.998378269926811,0.999146535035
502,mate/sterkte,graag,liefst,netjes,chic,make-up,kleding,vriendelijk,luisteren,NA,high,NA,0,1,NA,NA,0,0,0,0,0.0336863680095408,0.00111959907582819,0.00360060920216508,0.010103944515137,0.02056559481756,0.0423932723853358,0.0776485132004428
490,mate/sterkte,wit,spierwit,vochtig,nat,droog,oerwoud,vaatdoek,appel,NA,high,NA,1,0,1,0,1,1,0,1,0.604925202322002,0.0469206859366225,0.136977958954988,0.309544613213925,0.479778329650514,0.660377608058719,0.78712651099051
795,tegengestelden,nat,droog,lawaai,stilte,herrie,gillen,spelen,klussen,NA,high,NA,0,0,NA,NA,1,1,1,0,0.955156262238649,0.406469865445215,0.688269423836394,0.861810819180112,0.927689682797999,0.964347715586877,0.980929393048039
104,classificatie,trui,kleding,haai,vis,zoogdier,zee,water,tanden,NA,low,categorical,1,1,0,0,1,0,0,0,0.0633025930003638,0.0021681658217639,0.00695659729662171,0.0194034002073525,0.0391132776696527,0.0790382717365545,0.140303345905925
85,classificatie,heks,sprookjesfiguur,ring,sieraad,goud,boek,lucht,voertuig,NA,low,categorical,0,1,NA,NA,0,0,0,1,0.784947186727969,0.105030731154484,0.274498545538734,0.516607377201522,0.687352791743247,0.822544177678257,0.898109567800596
265,dezelfde categorie,schoen,klomp,zon,maan,laag,sinterklaas,koek,koud,NA,low,categorical,1,1,0,NA,1,1,1,1,0.999758268453799,0.99253599990385,0.997672873251688,0.999174884856208,0.999598732316181,0.999809637248485,0.999899886133494
329,gebrek aan,blind,zicht,honger,eten,arm,mond,misselijk,rusten,NA,low,causal,1,1,0,0,1,1,1,1,0.0579495284697029,0.00197392469449073,0.00633609529702417,0.0176924706785567,0.0357277162064068,0.0724574811667934,0.129337946569525
935,uitvoerder - actie,tuinier,tuinieren,bediende,bedienen,ober,dineren,restaurant,eten,NA,low,causal,1,1,NA,NA,0,0,1,1,0.608773295351555,0.047647256138687,0.138895840457999,0.313002365564068,0.483805218392506,0.663985600513595,0.789816549212609
964,uitvoerder - actie,timmerman,timmeren,fietsenmaker,repareren,ventiel,ketting,stuur,wiel,NA,low,causal,0,0,NA,NA,1,1,0,1,0.980502013588893,0.617862230390517,0.83904014783545,0.936402703276353,0.96804014468742,0.984582298731333,0.991832689216881
192,deel - geheel,baksteen,gebouw,mouw,jas,broek,kat,sjaal,stof,NA,low,compositional,1,0,1,0,0,0,0,1,0.0658240231265494,0.00226040309274155,0.00725106185960456,0.0202139987418568,0.0407130915901686,0.0821315189814216,0.145415685422056
452,item - eigenschap,lood,zwaar,schreeuwen,hard,schor,keelpijn,concert,waaghals,NA,low,compositional,0,0,NA,0,1,1,1,0,0.24074667384156,0.0100920952681166,0.031822552079557,0.0849536355007065,0.160360155545038,0.287072989508316,0.433661172355111
542,object - functie,pan,koken,auto,rijden,printen,opwarmen,autodeur,file,NA,low,compositional,1,0,NA,NA,1,1,1,1,0.997889443846813,0.93827892418471,0.980004327040505,0.992828279665963,0.996500851930609,0.998337283896183,0.999124948372535
763,synoniem,modern,nieuwerwets,jeugdig,jong,oud,bejaard,speels,taart,NA,low,NA,1,0,1,0,0,0,0,0,0.0662555226375153,0.00227623612323904,0.00730159621993987,0.0203530227086645,0.0409872025017456,0.0826604606817419,0.146287232538205
768,synoniem,lawaai,herrie,makkelijk,eenvoudig,ingewikkeld,school,slim,dom,NA,low,NA,1,1,NA,NA,0,0,0,0,0.253980073086817,0.01082764832031,0.0340873712978828,0.0906457777904552,0.170165182968981,0.301840512896474,0.45119705632457
806,tegengestelden,toekomst,verleden,wit,zwart,bleek,blank,rood,dwerg,NA,low,NA,1,1,NA,0,1,1,1,0,0.988526676681011,0.734762527421842,0.899306357614216,0.961871255214929,0.98109477013749,0.990943176186393,0.995216806719355
350,hoort bij elkaar,hand,vinger,been,voet,beker,lopen,arm,gips,near,high,categorical,0,0,0,1,1,1,1,1,0.988305888111213,0.730987321058513,0.897546591203343,0.961157674478343,0.98073375197182,0.990768455606885,0.995124125624208
433,item - eigenschap,bij,honing,koe,melk,wol,katoen,koffie,stier,far,high,compositional,0,0,NA,1,1,1,1,1,0.999711877357209,0.991115888120101,0.997227380452237,0.999016645779873,0.999521739024744,0.999773102183981,0.999880669873603
717,synoniem,zeldzaam,schaars,correct,goed,fout,ring,pen,vals,near,low,NA,0,0,0,0,1,1,1,0,0.00201763615255081,6.49987061664312E-05,0.000209524798040822,0.000591600123843459,0.00121624562523689,0.00256082603175616,0.00485853590226035
319,dezelfde categorie,ranja,appelsap,appel,banaan,bloemkool,aardappel,water,pizza,near,low,categorical,0,0,NA,NA,NA,0,1,1,0.0431857607091762,0.0014490925100375,0.00465684976576708,0.0130429691121426,0.026466332023271,0.0542102272813736,0.0982841033341827
430,item - eigenschap,suiker,zoet,sporten,gezond,stadion,hardloopschoenen,zweten,rennen,NA,high,compositional,0,0,NA,NA,1,1,1,0,0.00285810311352487,9.21496868204406E-05,0.00029702866465428,0.000838536324673226,0.00172346167322224,0.00362674200199908,0.00687425720716561
325,gebrek aan,haast,tijd,weeskind,ouders,meisje,jongen,wezenlijk,Annie,NA,high,causal,0,0,NA,1,1,1,1,0,0.0323024427925067,0.00107211855703171,0.0034482759825418,0.00967914338102448,0.0197097110992491,0.0406666981677001,0.0745979333406396
403,hoort bij elkaar,verf,kwast,moeder,baby,kinderwagen,draagdoek,wieg,fles,NA,low,categorical,1,1,NA,NA,1,1,1,0,0.999560738058549,0.986516403679659,0.995778462366538,0.998501358442984,0.999270932388551,0.999654068225237,0.999818057250206
793,tegengestelden,knijpen,aaien,stijgen,dalen,vliegtuig,warm,lucht,hijgen,NA,low,NA,1,1,0,0,1,1,1,1,0.650122587191624,0.056375635590467,0.161505095056955,0.352355632297288,0.528124671821708,0.70235256044476,0.81775924550805
81,classificatie,muis,knaagdier,mus,vogel,mees,boom,nest,snavel,near,low,categorical,0,0,NA,1,1,1,1,1,0.703778764876784,0.0709681570023904,0.19761109926066,0.410252566298695,0.58865231965569,0.751065894974772,0.851576377842538
249,delen een eigenschap,mus,vliegtuig,chocolade,koekjes,merel,puur,agenda,banketbakker,far,low,compositional,1,0,NA,NA,1,1,1,1,0.038861318142933,0.00129831540603455,0.00417370272764012,0.0116999915143906,0.0237745034052351,0.0488381885303301,0.0889552884625913
355,hoort bij elkaar,hand,vinger,voet,teen,armband,lichaam,arm,been,near,high,categorical,0,1,0,NA,NA,1,0,0,0.575821527987277,0.0418214121036523,0.123358169277938,0.284421224274132,0.44984002962245,0.63287979559843,0.766258667237264
862,teken van,sirene,hulpdienst,luxe,rijk,Ferrari,snel rijden,mooi,benzine,far,high,NA,NA,NA,NA,1,0,1,0,0,0.242534504315796,0.0101900299126134,0.0321245178250809,0.0857151298541784,0.161678140476849,0.289073864691733,0.436058831949949
712,mate/sterkte,warm,heet,raar,gek,normaal,voltooid,overig,dank,near,low,NA,1,1,NA,1,1,0,1,1,0.667342727496863,0.0605925023770656,0.17215098016624,0.370030063677768,0.547166953188788,0.718116653748486,0.828900127092352
728,synoniem,grootmoeder,oma,over,voorbij,jammer,onder,oven,vergeten,far,high,NA,1,0,NA,NA,0,0,0,0,0.0272881171963824,0.000901178358802713,0.00289957737138383,0.00814707854957599,0.0166165960321299,0.0344001403694836,0.063448536174199
856,teken van,kruidnoten,Sinterklaas,fronsen,nadenken,blijdschap,vergeten,luisteren,wandelen,far,low,NA,1,1,NA,NA,0,0,0,0,0.13715784893089,0.00508496843971152,0.0162105564115589,0.0444731101517014,0.0873794658720274,0.167960425518614,0.277391425679794
180,deel - geheel,dag,week,kassa,supermarkt,betalen,maand,boodschappen,rotonde,NA,low,compositional,1,1,NA,NA,0,0,0,0,0.0809090797017485,0.00282243689491198,0.00904274240425626,0.0251276466511817,0.0503536025402327,0.10055154253761,0.175317801277086
365,hoort bij elkaar,stier,koe,haan,kip,varken,huis,school,geweer,near,low,categorical,0,0,NA,NA,0,0,0,1,0.999791325045469,0.993550324332219,0.997990532744818,0.999287661836654,0.999653597785387,0.999835670354039,0.999913578297093
455,item - eigenschap,ijsbaan,glad,berg,hoog,klein,landschap,vakantie,wandelen,far,high,compositional,0,0,NA,0,0,0,1,1,0.410545147638827,0.0219030817297154,0.0673352374972843,0.169385153549941,0.295530547785051,0.469347358038844,0.627135843072114
103,classificatie,duif,vogel,haai,vis,zoogdier,zee,water,tanden,near,low,categorical,0,0,0,0,1,1,0,1,0.521576440948332,0.03386538432664,0.101534422513116,0.241968122572738,0.396372911617898,0.580617086387216,0.724724791929546
217,delen een eigenschap,Parijs,Rome,pretpark,speeltuin,school,groenteboer,fietsenmaker,dokter,far,low,compositional,1,1,NA,NA,0,0,0,1,0.9997207149253,0.991386118109799,0.997312219954793,0.999046787810438,0.999536405989699,0.999780062219878,0.999884330678261
709,probleem - oplossing,troep,opruimen,overgewicht,afvallen,kilo,weegschaal,dokter,dik,far,low,causal,1,0,NA,NA,NA,1,1,1,0.216902545096078,0.00882696230567019,0.0279101203019449,0.0750151099812408,0.142978402087417,0.260213093787428,0.400796426014733
447,item - eigenschap,kraan,water,vuur,warmte,kampvuur,lucifers,marshmallows,olie,near,high,compositional,0,0,NA,NA,0,1,0,0,0.00998470329515451,0.000324164468396767,0.0010443496317018,0.00294427226632839,0.00603799680034996,0.0126456159579863,0.0237762435442922
785,tegengestelden,schoon,vies,nep,echt,namaak,kapot,verboden,alsof,near,high,NA,0,0,NA,NA,0,1,0,1,0.999339063081059,0.979844601230808,0.993660155990704,0.997746269490195,0.998903166514388,0.999479468094555,0.99972620367561
326,gebrek aan,arm,geld,weeskind,ouders,meisje,jongen,wezenlijk,Annie,far,high,causal,0,0,NA,1,1,1,1,0,0.083834593550968,0.00293350244507081,0.009396276352551,0.0260934753357558,0.0522370836428893,0.104106840189323,0.180984746483248
124,classificatie,eik,boom,pink,vinger,hand,nagel,bijten,teen,far,low,categorical,0,1,NA,1,0,0,0,1,0.196034077408077,0.00777884950581147,0.0246524330693973,0.0666361912175178,0.128059195997076,0.236435768755739,0.370608521242231
271,dezelfde categorie,stofzuiger,strijkbout,toetsenbord,muis,lucht,gras,kip,bus,NA,low,categorical,0,1,NA,1,1,1,1,1,0.988358283625528,0.731879855532094,0.897963650326492,0.961326947909184,0.98081941603263,0.990809920176796,0.995146122034866
372,hoort bij elkaar,weekend,vrij,ochtend,opstaan,middag,zon,tijdstip,dag,far,high,categorical,0,1,NA,NA,0,0,1,0,0.550429918203499,0.0378747016799958,0.112621195250819,0.263885388842044,0.42444493012789,0.608581994857338,0.747263254974586
205,delen een eigenschap,sneeuw,papier,drop,mier,kast,juf,kapstok,huis,far,high,compositional,0,1,0,0,NA,NA,0,0,0.0401571028250729,0.00134335677323132,0.00431806619321049,0.0121015169150962,0.0245801011174684,0.0504491788084517,0.0917619279693373
148,deel - geheel,toets,piano,bladzijde,boek,papier,lezen,kaft,titel,far,high,compositional,1,1,1,1,1,0,1,1,0.164534985228669,0.00629218740720879,0.0200059815610845,0.0545190224402688,0.106041788281124,0.200060297662531,0.322303911775896
